00 03 3F A0 9C,GM --> DIA: Diagnostic command acknowledged
00 03 3F A2 9E,GM --> DIA: Diagnostic command rejected
80 06 BF 19 18 3C 00 04,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 60C [140F]
80 06 BF 19 18 3D 00 05,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 61C [142F]
80 06 BF 19 18 3E 00 06,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 62C [144F]
80 06 BF 19 18 3F 00 07,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 63C [145F]
80 06 BF 19 18 40 00 78,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 64C [147F]
80 06 BF 19 18 41 00 79,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 65C [149F]
80 06 BF 19 18 42 00 7A,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 66C [151F]
80 06 BF 19 18 43 00 7B,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 67C [153F]
80 06 BF 19 18 44 00 7C,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 68C [154F]
80 06 BF 19 18 45 00 7D,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 69C [156F]
80 06 BF 19 18 46 00 7E,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 70C [158F]
80 06 BF 19 18 47 00 7F,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 71C [160F]
80 06 BF 19 18 48 00 70,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 72C [162F]
80 06 BF 19 18 49 00 71,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 73C [163F]
80 06 BF 19 18 4A 00 72,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 74C [165F]
80 06 BF 19 18 4B 00 73,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 75C [167F]
80 06 BF 19 18 4C 00 74,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 76C [169F]
80 06 BF 19 18 4D 00 75,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 77C [171F]
80 06 BF 19 18 4F 00 77,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 79C [174F]
80 06 BF 19 18 50 00 68,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 80C [176F]
80 06 BF 19 18 52 00 6A,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 82C [180F]
80 06 BF 19 18 53 00 6B,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 83C [181F]
80 06 BF 19 18 55 00 6D,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 85C [185F]
80 06 BF 19 18 59 00 61,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 89C [192F]
80 06 BF 19 18 5A 00 62,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 90C [194F]
80 06 BF 19 18 5B 00 63,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 91C [196F]
80 06 BF 19 18 5C 00 64,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 92C [198F]
80 06 BF 19 18 5D 00 65,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 93C [199F]
80 06 BF 19 18 5E 00 66,IKE --> GLO: Temperature, Outside 24C [75F], Coolant 94C [201F]
80 06 BF 19 18 80 00 B8,IKE --> GLO: Temperature, Outside 24C [75F], Coolant -128C [-198F]
80 06 BF 19 19 43 00 7A,IKE --> GLO: Temperature, Outside 25C [77F], Coolant 67C [153F]
80 06 BF 19 19 45 00 7C,IKE --> GLO: Temperature, Outside 25C [77F], Coolant 69C [156F]
80 06 BF 19 1A 48 00 72,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 72C [162F]
80 06 BF 19 1A 49 00 73,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 73C [163F]
80 06 BF 19 1A 4A 00 70,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 74C [165F]
80 06 BF 19 1A 4B 00 71,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 75C [167F]
80 06 BF 19 1A 4C 00 76,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 76C [169F]
80 06 BF 19 1A 4D 00 77,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 77C [171F]
80 06 BF 19 1A 4F 00 75,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 79C [174F]
80 06 BF 19 1A 50 00 6A,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 80C [176F]
80 06 BF 19 1A 52 00 68,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 82C [180F]
80 06 BF 19 1A 55 00 6F,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 85C [185F]
80 06 BF 19 1A 57 00 6D,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 87C [189F]
80 06 BF 19 1A 58 00 62,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 88C [190F]
80 06 BF 19 1A 59 00 63,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 89C [192F]
80 06 BF 19 1A 5A 00 60,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 90C [194F]
80 06 BF 19 1A 5B 00 61,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 91C [196F]
80 06 BF 19 1A 5C 00 66,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 92C [198F]
80 06 BF 19 1A 5E 00 64,IKE --> GLO: Temperature, Outside 26C [79F], Coolant 94C [201F]
80 06 BF 19 1C 25 00 19,IKE --> GLO: Temperature, Outside 28C [82F], Coolant 37C [99F]
80 06 BF 19 1D 39 00 04,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 57C [135F]
80 06 BF 19 1D 3A 00 07,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 58C [136F]
80 06 BF 19 1D 42 00 7F,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 66C [151F]
80 06 BF 19 1D 43 00 7E,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 67C [153F]
80 06 BF 19 1D 44 00 79,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 68C [154F]
80 06 BF 19 1D 45 00 78,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 69C [156F]
80 06 BF 19 1D 46 00 7B,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 70C [158F]
80 06 BF 19 1D 47 00 7A,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 71C [160F]
80 06 BF 19 1D 48 00 75,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 72C [162F]
80 06 BF 19 1D 49 00 74,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 73C [163F]
80 06 BF 19 1D 4A 00 77,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 74C [165F]
80 06 BF 19 1D 4B 00 76,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 75C [167F]
80 06 BF 19 1D 4C 00 71,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 76C [169F]
80 06 BF 19 1D 4D 00 70,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 77C [171F]
80 06 BF 19 1D 4E 00 73,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 78C [172F]
80 06 BF 19 1D 4F 00 72,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 79C [174F]
80 06 BF 19 1D 50 00 6D,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 80C [176F]
80 06 BF 19 1D 51 00 6C,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 81C [178F]
80 06 BF 19 1D 52 00 6F,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 82C [180F]
80 06 BF 19 1D 53 00 6E,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 83C [181F]
80 06 BF 19 1D 54 00 69,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 84C [183F]
80 06 BF 19 1D 55 00 68,IKE --> GLO: Temperature, Outside 29C [84F], Coolant 85C [185F]
80 06 BF 19 1E 39 00 07,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 57C [135F]
80 06 BF 19 1E 3A 00 04,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 58C [136F]
80 06 BF 19 1E 3B 00 05,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 59C [138F]
80 06 BF 19 1E 3E 00 00,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 62C [144F]
80 06 BF 19 1E 3F 00 01,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 63C [145F]
80 06 BF 19 1E 40 00 7E,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 64C [147F]
80 06 BF 19 1E 43 00 7D,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 67C [153F]
80 06 BF 19 1E 44 00 7A,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 68C [154F]
80 06 BF 19 1E 45 00 7B,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 69C [156F]
80 06 BF 19 1E 46 00 78,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 70C [158F]
80 06 BF 19 1E 47 00 79,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 71C [160F]
80 06 BF 19 1E 48 00 76,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 72C [162F]
80 06 BF 19 1E 4B 00 75,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 75C [167F]
80 06 BF 19 1E 4C 00 72,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 76C [169F]
80 06 BF 19 1E 4D 00 73,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 77C [171F]
80 06 BF 19 1E 4E 00 70,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 78C [172F]
80 06 BF 19 1E 4F 00 71,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 79C [174F]
80 06 BF 19 1E 50 00 6E,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 80C [176F]
80 06 BF 19 1E 51 00 6F,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 81C [178F]
80 06 BF 19 1E 52 00 6C,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 82C [180F]
80 06 BF 19 1E 53 00 6D,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 83C [181F]
80 06 BF 19 1E 54 00 6A,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 84C [183F]
80 06 BF 19 1E 55 00 6B,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 85C [185F]
80 06 BF 19 1E 56 00 68,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 86C [187F]
80 06 BF 19 1E 57 00 69,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 87C [189F]
80 06 BF 19 1E 58 00 66,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 88C [190F]
80 06 BF 19 1E 59 00 67,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 89C [192F]
80 06 BF 19 1E 5A 00 64,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 90C [194F]
80 06 BF 19 1E 5B 00 65,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 91C [196F]
80 06 BF 19 1E 67 00 59,IKE --> GLO: Temperature, Outside 30C [86F], Coolant 103C [217F]
80 06 BF 19 1F 51 00 6E,IKE --> GLO: Temperature, Outside 31C [88F], Coolant 81C [178F]
80 06 BF 19 1F 52 00 6D,IKE --> GLO: Temperature, Outside 31C [88F], Coolant 82C [180F]
80 06 BF 19 1F 62 00 5D,IKE --> GLO: Temperature, Outside 31C [88F], Coolant 98C [208F]
80 06 BF 19 20 51 00 51,IKE --> GLO: Temperature, Outside 32C [90F], Coolant 81C [178F]
80 06 BF 19 20 52 00 52,IKE --> GLO: Temperature, Outside 32C [90F], Coolant 82C [180F]
80 06 BF 19 20 53 00 53,IKE --> GLO: Temperature, Outside 32C [90F], Coolant 83C [181F]
80 06 BF 19 20 54 00 54,IKE --> GLO: Temperature, Outside 32C [90F], Coolant 84C [183F]
80 06 BF 19 20 55 00 55,IKE --> GLO: Temperature, Outside 32C [90F], Coolant 85C [185F]
80 06 BF 19 20 5F 00 5F,IKE --> GLO: Temperature, Outside 32C [90F], Coolant 95C [203F]
80 06 BF 19 20 60 00 60,IKE --> GLO: Temperature, Outside 32C [90F], Coolant 96C [205F]
80 06 BF 19 21 4B 00 4A,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 75C [167F]
80 06 BF 19 21 4E 00 4F,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 78C [172F]
80 06 BF 19 21 50 00 51,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 80C [176F]
80 06 BF 19 21 51 00 50,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 81C [178F]
80 06 BF 19 21 52 00 53,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 82C [180F]
80 06 BF 19 21 54 00 55,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 84C [183F]
80 06 BF 19 21 55 00 54,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 85C [185F]
80 06 BF 19 21 56 00 57,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 86C [187F]
80 06 BF 19 21 57 00 56,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 87C [189F]
80 06 BF 19 21 58 00 59,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 88C [190F]
80 06 BF 19 21 59 00 58,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 89C [192F]
80 06 BF 19 21 5A 00 5B,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 90C [194F]
80 06 BF 19 21 5B 00 5A,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 91C [196F]
80 06 BF 19 21 5C 00 5D,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 92C [198F]
80 06 BF 19 21 5D 00 5C,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 93C [199F]
80 06 BF 19 21 5E 00 5F,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 94C [201F]
80 06 BF 19 21 5F 00 5E,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 95C [203F]
80 06 BF 19 21 60 00 61,IKE --> GLO: Temperature, Outside 33C [91F], Coolant 96C [205F]
80 06 BF 19 22 4C 00 4E,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 76C [169F]
80 06 BF 19 22 4D 00 4F,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 77C [171F]
80 06 BF 19 22 4E 00 4C,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 78C [172F]
80 06 BF 19 22 4F 00 4D,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 79C [174F]
80 06 BF 19 22 50 00 52,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 80C [176F]
80 06 BF 19 22 51 00 53,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 81C [178F]
80 06 BF 19 22 52 00 50,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 82C [180F]
80 06 BF 19 22 53 00 51,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 83C [181F]
80 06 BF 19 22 54 00 56,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 84C [183F]
80 06 BF 19 22 56 00 54,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 86C [187F]
80 06 BF 19 22 57 00 55,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 87C [189F]
80 06 BF 19 22 5D 00 5F,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 93C [199F]
80 06 BF 19 22 5E 00 5C,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 94C [201F]
80 06 BF 19 22 5F 00 5D,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 95C [203F]
80 06 BF 19 22 60 00 62,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 96C [205F]
80 06 BF 19 22 61 00 63,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 97C [207F]
80 06 BF 19 22 62 00 60,IKE --> GLO: Temperature, Outside 34C [93F], Coolant 98C [208F]
80 06 BF 19 22 80 00 82,IKE --> GLO: Temperature, Outside 34C [93F], Coolant -128C [-198F]
80 06 BF 19 23 56 00 55,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 86C [187F]
80 06 BF 19 23 57 00 54,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 87C [189F]
80 06 BF 19 23 58 00 5B,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 88C [190F]
80 06 BF 19 23 59 00 5A,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 89C [192F]
80 06 BF 19 23 5D 00 5E,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 93C [199F]
80 06 BF 19 23 5E 00 5D,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 94C [201F]
80 06 BF 19 23 5F 00 5C,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 95C [203F]
80 06 BF 19 23 60 00 63,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 96C [205F]
80 06 BF 19 23 61 00 62,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 97C [207F]
80 06 BF 19 23 62 00 61,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 98C [208F]
80 06 BF 19 23 63 00 60,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 99C [210F]
80 06 BF 19 23 64 00 67,IKE --> GLO: Temperature, Outside 35C [95F], Coolant 100C [212F]
80 06 BF 19 24 57 00 53,IKE --> GLO: Temperature, Outside 36C [97F], Coolant 87C [189F]
80 06 BF 19 24 58 00 5C,IKE --> GLO: Temperature, Outside 36C [97F], Coolant 88C [190F]
80 06 BF 19 24 59 00 5D,IKE --> GLO: Temperature, Outside 36C [97F], Coolant 89C [192F]
80 06 BF 19 24 5A 00 5E,IKE --> GLO: Temperature, Outside 36C [97F], Coolant 90C [194F]
80 06 BF 19 26 59 00 5F,IKE --> GLO: Temperature, Outside 38C [100F], Coolant 89C [192F]
80 06 BF 19 27 57 00 50,IKE --> GLO: Temperature, Outside 39C [102F], Coolant 87C [189F]
80 06 BF 19 27 59 00 5E,IKE --> GLO: Temperature, Outside 39C [102F], Coolant 89C [192F]
80 06 BF 19 28 58 00 50,IKE --> GLO: Temperature, Outside 40C [104F], Coolant 88C [190F]
80 06 BF 19 29 57 00 5E,IKE --> GLO: Temperature, Outside 41C [106F], Coolant 87C [189F]
80 06 BF 19 29 58 00 51,IKE --> GLO: Temperature, Outside 41C [106F], Coolant 88C [190F]
80 06 BF 19 2A 58 00 52,IKE --> GLO: Temperature, Outside 42C [108F], Coolant 88C [190F]
80 06 BF 19 2B 57 00 5C,IKE --> GLO: Temperature, Outside 43C [109F], Coolant 87C [189F]
80 06 BF 19 2B 58 00 53,IKE --> GLO: Temperature, Outside 43C [109F], Coolant 88C [190F]
80 06 BF 19 2E 5B 00 55,IKE --> GLO: Temperature, Outside 46C [115F], Coolant 91C [196F]
80 06 BF 19 2E 5C 00 52,IKE --> GLO: Temperature, Outside 46C [115F], Coolant 92C [198F]
80 06 BF 19 2E 5D 00 53,IKE --> GLO: Temperature, Outside 46C [115F], Coolant 93C [199F]
80 06 BF 19 2E 5E 00 50,IKE --> GLO: Temperature, Outside 46C [115F], Coolant 94C [201F]
80 06 BF 19 2F 5C 00 53,IKE --> GLO: Temperature, Outside 47C [117F], Coolant 92C [198F]
80 06 BF 19 30 5B 00 4B,IKE --> GLO: Temperature, Outside 48C [118F], Coolant 91C [196F]
80 06 BF 19 30 5C 00 4C,IKE --> GLO: Temperature, Outside 48C [118F], Coolant 92C [198F]
80 06 BF 19 32 5B 00 49,IKE --> GLO: Temperature, Outside 50C [122F], Coolant 91C [196F]
80 06 BF 19 32 6D 00 7F,IKE --> GLO: Temperature, Outside 50C [122F], Coolant 109C [228F]
80 06 BF 19 32 6F 00 7D,IKE --> GLO: Temperature, Outside 50C [122F], Coolant 111C [232F]
80 06 BF 19 D8 D0 00 28,IKE --> GLO: Temperature, Outside -40C [-40F], Coolant -48C [-54F]
80 07 BF 15 01 04 00 42 6A,IKE --> GLO: Country coding status: Ntwk=E38/E39 Lang=GB_English Clock=24h OutTemp=C AvgSpd=km/h Limit=km Dist=km ArrTime=24h Consump=l/100_km Motor=Petrol
80 07 BF 15 02 F1 FA 05 21,IKE --> GLO: Country coding status, Ntwk=E38/E39 Lang=US_English Clock=12h OutTemp=C AvgSpd=mph Limit=mls Dist=mls ArrTime=12h Consump=mpg Motor=Diesel
80 07 BF 15 02 F1 FA 06 22,IKE --> GLO: Country coding status, Ntwk=E38/E39 Lang=US_English Clock=12h OutTemp=C AvgSpd=mph Limit=mls Dist=mls ArrTime=12h Consump=mpg Motor=Petrol
80 07 BF 15 02 F1 FA 46 62,IKE --> GLO: Country coding status, Ntwk=E38/E39 Lang=US_English Clock=12h OutTemp=C AvgSpd=mph Limit=mls Dist=mls ArrTime=12h Consump=mpg Motor=Petrol
80 07 BF 15 02 F1 FA 47 63,IKE --> GLO: Country coding status, Ntwk=E38/E39 Lang=US_English Clock=12h OutTemp=C AvgSpd=mph Limit=mls Dist=mls ArrTime=12h Consump=mpg Motor=Diesel
80 07 BF 15 02 F7 7A 56 F4,IKE --> GLO: Country coding status, Ntwk=E38/E39 Lang=US_English Clock=12h OutTemp=F AvgSpd=mph Limit=mls Dist=mls ArrTime=12h Consump=mpg Motor=Petrol
80 07 BF 15 02 F9 FA 06 2A,IKE --> GLO: Country coding status, Ntwk=E38/E39 Lang=US_English Clock=12h OutTemp=C AvgSpd=mph Limit=mls Dist=mls ArrTime=12h Consump=mpg Motor=Petrol
80 07 BF 15 02 FD FA 04 2C,IKE --> GLO: Country coding status, Ntwk=E38/E39 Lang=US_English Clock=12h OutTemp=C AvgSpd=mph Limit=mls Dist=mls ArrTime=12h Consump=mpg Motor=Petrol
80 08 C0 21 01 00 0A 4B 4D 64,IKE --> MID: Menu Text, Layout=0x01:  Flags=  F10="KM"
80 09 E7 24 0D 00 2D 2D 2D 2D 47,IKE --> ANZV: Update Text, Layout=Code  Flags=  F0="----"
80 0A BF 13 00 00 00 00 00 00 00 26,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 0C 2A,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 0D 2B,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 0E 28,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 38 1E,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 39 1F,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 3D 1B,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 3E 18,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 3F 19,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 40 66,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 41 67,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 00 43 65,IKE --> GLO: IKE sensor status:
80 0A BF 13 00 00 00 00 00 08 00 2E,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 08 0D 23,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 08 0E 20,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 08 39 17,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 08 3E 10,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 08 3F 11,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 08 40 6E,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 00 00 08 41 6F,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 02 00 00 3F 1B,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 02 00 00 40 64,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 00 02 00 08 40 6C,IKE --> GLO: IKE sensor status
80 0A BF 13 00 00 40 00 00 00 0C 6A,IKE --> GLO: IKE sensor status, Temp_F
80 0A BF 13 00 00 40 00 00 00 25 43,IKE --> GLO: IKE sensor status, Temp_F
80 0A BF 13 00 00 40 00 00 00 40 26,IKE --> GLO: IKE sensor status, Temp_F
80 0A BF 13 00 00 40 00 00 00 41 27,IKE --> GLO: IKE sensor status, Temp_F
80 0A BF 13 00 00 40 00 00 08 25 4B,IKE --> GLO: IKE sensor status, Temp_F
80 0A BF 13 00 00 40 02 00 00 25 41,IKE --> GLO: IKE sensor status, Temp_F
80 0A BF 13 00 00 40 02 00 08 25 49,IKE --> GLO: IKE sensor status, Temp_F
80 0A BF 13 00 00 44 00 00 00 40 22,IKE --> GLO: IKE sensor status, Aux_Heat_On  Temp_F
80 0A BF 13 00 00 48 00 00 00 40 2E,IKE --> GLO: IKE sensor status, Aux_Vent_On  Temp_F
80 0A BF 13 00 01 00 00 00 00 0D 2A,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 00 3D 1A,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 00 3E 19,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 00 3F 18,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 00 40 67,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 00 41 66,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 08 0D 22,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 08 3D 12,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 08 3E 11,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 08 3F 10,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 08 40 6F,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 00 00 00 08 41 6E,IKE --> GLO: IKE sensor status, Motor_Running
80 0A BF 13 00 01 40 00 00 00 25 42,IKE --> GLO: IKE sensor status, Motor_Running  Temp_F
80 0A BF 13 00 01 40 00 00 08 25 4A,IKE --> GLO: IKE sensor status, Motor_Running  Temp_F
80 0A BF 13 00 03 00 00 00 00 24 01,IKE --> GLO: IKE sensor status, Motor_Running  Vehicle_Driving
80 0A BF 13 00 03 00 00 00 00 25 00,IKE --> GLO: IKE sensor status, Motor_Running  Vehicle_Driving
80 0A BF 13 00 03 00 00 00 08 24 09,IKE --> GLO: IKE sensor status, Motor_Running  Vehicle_Driving
80 0A BF 13 00 03 00 00 00 08 25 08,IKE --> GLO: IKE sensor status, Motor_Running  Vehicle_Driving
80 0A BF 13 00 11 00 00 00 00 3F 08,IKE --> GLO: IKE sensor status, Motor_Running  Gear_R
80 0A BF 13 00 11 00 00 00 00 40 77,IKE --> GLO: IKE sensor status, Motor_Running  Gear_R
80 0A BF 13 00 11 00 00 00 08 3F 00,IKE --> GLO: IKE sensor status, Motor_Running  Gear_R
80 0A BF 13 00 11 00 00 00 08 40 7F,IKE --> GLO: IKE sensor status, Motor_Running  Gear_R
80 0A BF 13 00 B1 40 00 00 00 41 96,IKE --> GLO: IKE sensor status, Motor_Running  Gear_P  Temp_F
80 0A BF 13 01 00 00 00 00 00 00 27,IKE --> GLO: IKE sensor status, Handbrake_On
80 0A BF 13 01 00 00 00 00 00 0D 2A,IKE --> GLO: IKE sensor status, Handbrake_On
80 0A BF 13 01 00 00 00 00 00 0E 29,IKE --> GLO: IKE sensor status, Handbrake_On
80 0A BF 13 01 00 00 00 00 00 38 1F,IKE --> GLO: IKE sensor status, Handbrake_On
80 0A BF 13 01 00 00 00 00 00 39 1E,IKE --> GLO: IKE sensor status, Handbrake_On
